flowid,name,default_unit,energycontent_LHV,energycontent_HHV,density_norm,density_std
elec,Electricity,MWh,,,,
heat,Heat,MWh,,,,
h2,Hydrogen,MWh,33.33 kWh/kg,39.41 kWh/kg,0.0899 kg/m³,0.0899 kg/m³
nh3,Ammonia,t,0.0538 MJ/kg,0.0538 MJ/kg,0.771 kg/m³,0.771 kg/m³
ch4,Methane,MWh,13.9 kWh/kg,13.9 kWh/kg,0.716 kg/m³,0.716 kg/m³
meoh,Methanol,t,5.54 kWh/kg,5.54 kWh/kg,0.791 kg/l,0.791 kg/l
ng,Natural gas,MWh,13.1 kWh/kg,13.1 kWh/kg,0.777 kg/m³,0.777 kg/m³
coal,Coal,MWh,8 kWh/kg,8 kWh/kg,,
co2,Purified CO2,t,,,1.977 kg/m³,1.977 kg/m³
ironore,Iron ore,t,,,,
dri,Directly reduced iron,t,,,,
alloys,Alloys,t,,,,
lime,Lime,t,,,,
steelliq,Liquid steel,t,,,,
steelslab,Steel slab,t,,,,
steelhrc,Hot-rolled coil,t,,,,
steelscrap,Steel scrap,t,,,,
hvcs,Higher-value chemicals,t,,,,
urea,Urea,t,,,1.34 g/cm³,1.34 g/cm³
water,Water,t,,,1 kg/l,1 kg/l
oxygen,Oxygen,t,,,0.6998 kg/m³,0.6998 kg/m³
nitrogen,Nitrogen,t,,,,
graph_electr,Graphite electrodes,t,,,,
steam,Steam,MWh,,,,
